case_id,category,concept_tag,severity,osi_layer,symptom,topology_note,show_output,expected_fault,expected_next_command,network_snapshot_json,checker_findable,checker_check
C028,ACL,acl-blocks-legit-traffic,High,Layer 3/4,PC in VLAN 10 can ping the VLAN 30 server but web browsing to the server fails.,An ACL applied inbound on the router's VLAN 30 subinterface restricts traffic.,"Router#show access-lists
Extended IP access list SERVER_ACL
    10 permit icmp any any
    20 deny tcp any any eq 80
    30 permit ip any any

Router#show run interface gi0/0.30
interface GigabitEthernet0/0.30
 ip address 192.168.30.1 255.255.255.0
 ip access-group SERVER_ACL in","ACL 'SERVER_ACL' explicitly denies TCP port 80 before the permit-any statement, blocking HTTP while allowing ICMP (ping) through.",show access-lists; show run interface gi0/0.30; add/reorder a permit for tcp eq 80,"{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (ACL rule-order logic is not one of the 6 rules)
C029,ACL,acl-wildcard-mistake,Medium,Layer 3,Only some PCs in VLAN 20 can reach the internet; others in the same subnet are blocked entirely.,An ACL uses an incorrect wildcard mask that only covers half the subnet.,"Router#show access-lists
Standard IP access list INTERNET_OUT
    10 permit 192.168.20.0 0.0.0.63

Router#show run interface gi0/1
interface GigabitEthernet0/1
 ip access-group INTERNET_OUT out","The ACL wildcard mask (0.0.0.63) only covers 192.168.20.0-192.168.20.63, a quarter of the actual /24 subnet, so hosts above .63 are silently denied by the implicit deny.",show access-lists; correct wildcard mask to 0.0.0.255,"{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (ACL wildcard math is not one of the 6 rules)
C030,ACL,acl-blocks-legit-traffic,Medium,Layer 3/4,Guest Wi-Fi can reach internal server.,Example from problem statement: guest isolation ACL is missing or misapplied on the guest VLAN interface.,"Router#show run interface gi0/0.50
interface GigabitEthernet0/0.50
 description GUEST_WIFI
 ip address 192.168.50.1 255.255.255.0
 (no ip access-group applied)

Router#show access-lists
(no access-lists configured)","Likely guest isolation failure / security issue: no ACL is applied to the guest VLAN interface, so guest traffic is not restricted from reaching internal servers.",show run interface gi0/0.50; inspect VLAN mapping and ACL rules; apply a guest-isolation ACL,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":50,""name"":""GUEST""}],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (missing ACL application is not one of the 6 rules)
C031,ACL,acl-applied-wrong-direction,Medium,Layer 3,"Server in VLAN 30 cannot initiate connections out, but inbound connections to it work fine.",ACL meant to restrict inbound traffic was applied in the outbound direction instead.,"Router#show run interface gi0/0.30
interface GigabitEthernet0/0.30
 ip address 192.168.30.1 255.255.255.0
 ip access-group RESTRICT_IN out

Router#show access-lists
Extended IP access list RESTRICT_IN
    10 deny tcp any any eq 443
    20 permit ip any any","ACL 'RESTRICT_IN' was intended to filter inbound traffic but is applied with 'out', so it instead blocks the server's own outbound HTTPS traffic.",show run interface gi0/0.30; change ip access-group RESTRICT_IN to 'in',"{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (ACL direction is not one of the 6 rules)
C032,NAT,nat-not-enabled-on-interface,High,Layer 3,Internal PCs have a default route to the internet edge router but no internal host can reach any public website.,NAT overload configured globally but the inside/outside interfaces were never marked.,"Router#show ip nat translations
(no output)

Router#show run | include ip nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload","NAT overload is configured but neither the inside VLAN interface nor GigabitEthernet0/1 is marked with 'ip nat inside'/'ip nat outside', so no translations ever occur.",show ip nat translations; show run interfaces; add ip nat inside / ip nat outside,"{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (missing nat inside/outside marking is not one of the 6 rules)
C033,NAT,nat-acl-too-narrow,Medium,Layer 3,"PCs in VLAN 10 reach the internet fine, PCs in VLAN 20 cannot.",NAT source ACL only references the VLAN 10 subnet.,"Router#show run | include access-list 1
access-list 1 permit 192.168.10.0 0.0.0.255

Router#show run | include ip nat inside source
ip nat inside source list 1 interface GigabitEthernet0/1 overload","NAT source ACL 1 only permits the VLAN 10 subnet (192.168.10.0/24); VLAN 20 (192.168.20.0/24) is not included, so its traffic is never translated.",show run | include access-list 1; add a permit line for 192.168.20.0 0.0.0.255,"{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (NAT ACL scope is not one of the 6 rules)
C034,NAT,port-forward-misconfigured,Low,Layer 3/4,An externally hosted lab web server cannot be reached from outside the lab network on port 8080.,Static NAT/port-forward rule was set up with the wrong internal port.,"Router#show run | include ip nat inside source static
ip nat inside source static tcp 192.168.10.20 80 203.0.113.5 8080 extendable","The port-forward maps external port 8080 to internal port 80, but the web server on 192.168.10.20 is actually listening on port 8080 internally, so the translation lands on the wrong internal port.","show run | include ip nat inside source static; verify listening port on server, correct the internal port in the NAT rule","{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (application-level port mismatch is not one of the 6 rules)
C035,NAT,nat-overload-pool-exhausted,Medium,Layer 3,"Internet access works for the first several users each morning, then new connections start failing until afternoon.",NAT overload configured with a very small public IP pool instead of PAT off the outside interface.,"Router#show ip nat statistics
Total active translations: 1024 (0 static, 1024 dynamic)
Pool nat-pool2: netmask 255.255.255.252
    start 203.0.113.10 end 203.0.113.13
    total addresses 4, allocated 4 (100%), misses 812","The NAT pool only contains 4 public addresses and is fully allocated (100%, 812 misses logged), so new outbound sessions are dropped once the pool is exhausted.",show ip nat statistics; switch to PAT overload on the outside interface or expand the pool,"{""hosts"":[],""interfaces"":[],""vlans"":[],""switchports"":[],""routes"":[],""required_routes"":[]}",False,none (NAT pool exhaustion is not one of the 6 rules)
C036,Wireless,missing-vlan-on-switch,Medium,Layer 2,Guest Wi-Fi clients associate with the AP successfully but never get an IP address.,AP trunk port on SW6 carries VLAN 55 (GUEST-WIFI) which was never created switch-side.,"SW6#show interfaces fa0/24 trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/24      on           802.1q         trunking      1

SW6#show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2
10   DATA                             active    Fa0/3, Fa0/4","VLAN 55 (GUEST-WIFI) is used by the AP's SSID mapping but does not exist in SW6's VLAN database, so guest traffic has nowhere to go at Layer 2.",show vlan brief; vlan 55 (global config) then name GUEST-WIFI,"{""hosts"":[],""interfaces"":[],""vlans"":[{""id"":1,""name"":""default""},{""id"":10,""name"":""DATA""}],""switchports"":[{""port"":""Fa0/24"",""vlan"":55,""mode"":""trunk-allowed""}],""routes"":[],""required_routes"":[]}",True,missing_vlan
C037,Wireless,interface-down,High,Layer 1,An entire floor's wireless access points went offline simultaneously.,The switch uplink port feeding the wiring closet's PoE switch was shut down during a config push.,"SW7#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
Vlan1                  unassigned      YES unset  administratively down down

SW7#show interfaces gi0/0/1 status
Port      Name     Status       Vlan       Duplex  Speed
Gi0/0/1            disabled     1          auto    auto","The uplink port Gi0/0/1 feeding the closet PoE switch (and its APs) is administratively disabled, taking the whole floor's wireless offline.",show interfaces status; no shutdown on gi0/0/1,"{""hosts"":[],""interfaces"":[{""name"":""Gi0/0/1"",""ip"":null,""mask"":null,""status"":""administratively down"",""protocol"":""down"",""vlan"":1}],""vlans"":[{""id"":1,""name"":""default""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,interface_down
C038,Wireless,gateway-mismatch,Medium,Layer 3,A wireless laptop connects to the corporate SSID and gets an IP but cannot reach anything past the local subnet.,AP maps the corporate SSID to VLAN 15; laptop received a stale gateway from a cached profile.,"Laptop-WiFi> ipconfig
IP Address......: 192.168.15.88
Subnet Mask......: 255.255.255.0
Default Gateway...: 192.168.10.1

Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.15  192.168.15.1    YES manual up                    up",The wireless laptop's cached gateway (192.168.10.1) belongs to a different VLAN; the correct VLAN 15 gateway is 192.168.15.1.,ipconfig /all; forget/renew the wireless profile or set correct default gateway 192.168.15.1,"{""hosts"":[{""name"":""Laptop-WiFi"",""ip"":""192.168.15.88"",""mask"":""255.255.255.0"",""gateway"":""192.168.10.1"",""vlan"":15}],""interfaces"":[{""name"":""Gi0/0.15"",""ip"":""192.168.15.1"",""mask"":""255.255.255.0"",""status"":""up"",""protocol"":""up"",""vlan"":15}],""vlans"":[{""id"":15,""name"":""CORP-WIFI""}],""switchports"":[],""routes"":[],""required_routes"":[]}",True,gateway_mismatch
